,player_country,Matches_avg,Bat_Inns_avg,NO_avg,Bat_Runs_avg,HS_avg,HS_max,SR_bat_avg,SR_bat_max,100s_avg,100s_max,50s_avg,50s_max,4s_avg,4s_max,6s_avg,6s_max,Bowl_Inns_avg,Wkts_avg,Wkts_max,Bowl_ave_avg,Bowl_ave_min,Bowl_Econ_avg,Bowl_Econ_min,SR_bowl_avg,SR_bowl_min,4w_avg,4w_max,5w_avg,5w_max
0,Afghanistan,35.13333333333333,27.4,5.533333333333333,555.4666666666667,57.666666666666664,162.0,125.00733333333334,160.0,0.13333333333333333,1.0,2.2666666666666666,12.0,44.733333333333334,218.0,27.4,83.0,28.333333333333332,33.888888888888886,95.0,19.70888888888889,4.0,7.1000000000000005,6.0,16.077777777777776,4.0,0.8888888888888888,3.0,0.3333333333333333,2.0
1,Australia,36.55555555555556,25.38888888888889,5.444444444444445,542.5555555555555,53.666666666666664,172.0,127.46333333333334,234.78,0.3333333333333333,3.0,3.0,18.0,47.611111111111114,248.0,22.38888888888889,107.0,23.4375,23.625,52.0,23.718666666666664,10.0,8.09375,6.25,18.12,9.6,0.0625,1.0,0.125,2.0
2,Bangladesh,42.357142857142854,35.07142857142857,5.785714285714286,589.8571428571429,45.57142857142857,84.0,108.48928571428571,144.0,0.0,0.0,2.2142857142857144,9.0,53.5,183.0,16.642857142857142,54.0,31.4,30.5,106.0,26.46777777777778,15.55,7.442,5.5,20.4,14.9,0.9,4.0,0.2,1.0
3,England,39.9375,30.5,7.3125,596.375,53.5625,103.0,123.708125,167.47,0.125,1.0,3.5,14.0,51.5625,179.0,26.1875,116.0,24.636363636363637,25.636363636363637,73.0,29.25818181818182,20.76,8.532727272727273,6.78,21.40909090909091,12.0,0.45454545454545453,2.0,0.0,0.0
4,India,38.53333333333333,25.714285714285715,6.428571428571429,662.0714285714286,47.642857142857146,118.0,118.13071428571428,197.14,0.42857142857142855,4.0,4.785714285714286,28.0,56.714285714285715,285.0,25.714285714285715,133.0,27.454545454545453,27.181818181818183,59.0,35.89,19.57,7.792727272727273,5.3,26.8,14.6,0.45454545454545453,2.0,0.09090909090909091,1.0
5,Ireland,38.642857142857146,31.357142857142858,5.571428571428571,549.2857142857143,51.92857142857143,124.0,117.23214285714286,148.14,0.14285714285714285,1.0,2.2857142857142856,19.0,51.5,288.0,18.142857142857142,87.0,29.181818181818183,28.181818181818183,76.0,27.105454545454542,14.91,7.9,7.0,20.28181818181818,12.7,0.45454545454545453,2.0,0.0,0.0
6,Namibia,13.266666666666667,9.142857142857142,2.5714285714285716,170.0,36.0,92.0,105.5592857142857,180.0,0.0,0.0,1.1428571428571428,5.0,13.285714285714286,46.0,6.571428571428571,24.0,10.75,12.583333333333334,35.0,20.616,10.8,6.914166666666667,5.31,19.79,11.0,0.16666666666666666,1.0,0.16666666666666666,1.0
7,Netherlands,30.357142857142858,21.142857142857142,5.071428571428571,395.0,52.42857142857143,133.0,103.89857142857143,137.2,0.07142857142857142,1.0,1.9285714285714286,9.0,34.357142857142854,116.0,11.071428571428571,38.0,21.454545454545453,21.90909090909091,56.0,27.80545454545455,16.0,7.924545454545455,5.88,20.863636363636363,13.9,0.5454545454545454,2.0,0.0,0.0
8,New Zealand,37.86666666666667,26.0,5.333333333333333,543.9333333333333,51.333333333333336,108.0,118.99333333333333,157.28,0.2,2.0,2.8,17.0,48.06666666666667,256.0,22.533333333333335,147.0,22.923076923076923,26.76923076923077,99.0,26.313333333333333,11.71,8.51923076923077,6.86,18.599999999999998,8.5,0.5384615384615384,2.0,0.15384615384615385,1.0
9,Oman,20.153846153846153,14.153846153846153,3.0,230.6153846153846,38.76923076923077,72.0,107.66384615384615,171.42,0.0,0.0,0.7692307692307693,3.0,22.76923076923077,72.0,5.461538461538462,14.0,14.3,14.7,51.0,27.83888888888889,16.25,7.135,6.48,23.744444444444444,14.3,0.7,3.0,0.0,0.0
10,P.N.G.,18.071428571428573,13.76923076923077,3.3846153846153846,232.07692307692307,38.69230769230769,107.0,111.4276923076923,177.77,0.07692307692307693,1.0,0.8461538461538461,5.0,15.384615384615385,59.0,8.923076923076923,35.0,12.25,12.916666666666666,35.0,17.12777777777778,6.22,6.183333333333334,4.66,17.666666666666668,8.0,0.16666666666666666,1.0,0.16666666666666666,1.0
11,Pakistan,46.4375,33.8125,7.4375,719.25,54.875,122.0,120.441875,188.88,0.125,1.0,3.75,20.0,66.625,241.0,20.25,74.0,31.272727272727273,30.09090909090909,60.0,25.31222222222222,21.73,8.615454545454545,6.4,19.466666666666665,15.7,0.36363636363636365,1.0,0.09090909090909091,1.0
12,Scotland,31.5625,25.857142857142858,5.071428571428571,495.07142857142856,47.0,127.0,117.69785714285715,158.33,0.14285714285714285,1.0,2.2142857142857144,7.0,47.142857142857146,148.0,16.071428571428573,50.0,18.307692307692307,19.46153846153846,53.0,23.423076923076923,14.2,8.336153846153847,4.25,18.276923076923076,6.0,0.3076923076923077,2.0,0.15384615384615385,1.0
13,South Africa,27.866666666666667,21.428571428571427,4.928571428571429,491.92857142857144,50.07142857142857,101.0,112.75642857142857,165.68,0.07142857142857142,1.0,2.5714285714285716,11.0,42.142857142857146,179.0,18.214285714285715,77.0,14.0,16.0,49.0,21.514444444444443,14.33,9.24090909090909,4.22,17.688888888888886,13.1,0.2727272727272727,2.0,0.09090909090909091,1.0
14,Sri Lanka,21.933333333333334,18.066666666666666,2.8666666666666667,290.8,38.53333333333333,84.0,103.72599999999998,166.66,0.0,0.0,1.5333333333333334,12.0,23.866666666666667,129.0,8.6,49.0,15.333333333333334,14.222222222222221,36.0,40.775555555555556,15.47,7.763333333333334,6.57,31.022222222222222,14.1,0.2222222222222222,1.0,0.0,0.0
15,West Indies,47.07142857142857,38.285714285714285,7.571428571428571,755.1428571428571,59.5,125.0,121.215,158.03,0.2857142857142857,2.0,3.857142857142857,14.0,53.642857142857146,155.0,45.857142857142854,121.0,30.7,28.5,76.0,23.674,12.0,8.281,6.92,17.330000000000002,7.1,0.7,3.0,0.1,1.0
