,Date,Team1,Team2,PredictedResult
0,17/10/2021,Oman,PNG,Oman
1,17/10/2021,Bangladesh,Scotland,Bangladesh
2,18/10/2021,Ireland,Netherlands,Ireland
3,18/10/2021,SriLanka,Namibia,SriLanka
4,19/10/2021,Scotland,PNG,Scotland
5,19/10/2021,Oman,Bangladesh,Oman
6,20/10/2021,Namibia,Netherlands,Namibia
7,20/10/2021,SriLanka,Ireland,SriLanka
8,21/10/2021,Bangladesh,PNG,Bangladesh
9,21/10/2021,Oman,Scotland,Oman
10,22/10/2021,Namibia,Ireland,Namibia
11,22/10/2021,SriLanka,Netherlands,SriLanka
0,23/10/2021,Australia,SouthAfrica,Australia
1,23/10/2021,England,WestIndies,England
2,24/10/2021,SriLanka,Bangladesh,SriLanka
3,24/10/2021,India,Pakistan,India
4,25/10/2021,Afghanistan,Oman,Afghanistan
5,26/10/2021,SouthAfrica,WestIndies,SouthAfrica
6,26/10/2021,Pakistan,NewZealand,Pakistan
7,27/10/2021,England,Bangladesh,England
8,27/10/2021,Oman,Namibia,Oman
9,28/10/2021,Australia,SriLanka,Australia
10,29/10/2021,WestIndies,Bangladesh,WestIndies
11,29/10/2021,Afghanistan,Pakistan,Afghanistan
12,30/10/2021,SouthAfrica,SriLanka,SouthAfrica
13,30/10/2021,England,Australia,England
14,31/10/2021,Afghanistan,Namibia,Afghanistan
15,31/10/2021,India,NewZealand,India
16,01/11/2021,England,SriLanka,England
17,02/11/2021,SouthAfrica,Bangladesh,SouthAfrica
18,02/11/2021,Pakistan,Namibia,Pakistan
19,03/11/2021,NewZealand,Oman,NewZealand
20,03/11/2021,India,Afghanistan,Afghanistan
21,04/11/2021,Australia,Bangladesh,Australia
22,04/11/2021,WestIndies,SriLanka,WestIndies
23,05/11/2021,NewZealand,Namibia,NewZealand
24,05/11/2021,India,Oman,India
25,06/11/2021,Australia,WestIndies,WestIndies
26,06/11/2021,England,SouthAfrica,England
27,07/11/2021,NewZealand,Afghanistan,NewZealand
28,07/11/2021,Pakistan,Oman,Pakistan
29,08/11/2021,India,Namibia,India
42,10/11/2021,England,India,England
43,11/11/2021,Australia,Afghanistan,Australia
44,14/11/2021,England,Australia,England
