match_url,Date,Team1,Team2,ActualResult
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/oman-vs-papua-new-guinea-1st-match-first-round-group-b-1273712/full-scorecard,17-10-21,Oman,Papua New Guinea,Oman
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/bangladesh-vs-scotland-2nd-match-first-round-group-b-1273713/full-scorecard,17-10-21,Bangladesh,Scotland,Scotland
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/ireland-vs-netherlands-3rd-match-first-round-group-a-1273714/full-scorecard,18-10-21,Ireland,Netherlands,Ireland
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/namibia-vs-sri-lanka-4th-match-first-round-group-a-1273715/full-scorecard,18-10-21,Sri Lanka,Namibia,Sri Lanka
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/papua-new-guinea-vs-scotland-5th-match-first-round-group-b-1273716/full-scorecard,19-10-21,Papua New Guinea,Scotland,Scotland
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/oman-vs-bangladesh-6th-match-first-round-group-b-1273717/full-scorecard,19-10-21,Oman,Bangladesh,Bangladesh
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/namibia-vs-netherlands-7th-match-first-round-group-a-1273718/full-scorecard,20-10-21,Namibia,Netherlands,Namibia
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/ireland-vs-sri-lanka-8th-match-first-round-group-a-1273719/full-scorecard,20-10-21,Ireland,Sri Lanka,Sri Lanka
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/bangladesh-vs-papua-new-guinea-9th-match-first-round-group-b-1273720/full-scorecard,21-10-21,Papua New Guinea,Bangladesh,Bangladesh
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/oman-vs-scotland-10th-match-first-round-group-b-1273721/full-scorecard,21-10-21,Scotland,Oman,Scotland
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/ireland-vs-namibia-11th-match-first-round-group-a-1273722/full-scorecard,22-10-21,Namibia,Ireland,Namibia
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/netherlands-vs-sri-lanka-12th-match-first-round-group-a-1273723/full-scorecard,22-10-21,Sri Lanka,Netherlands,Sri Lanka
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/australia-vs-south-africa-13th-match-group-1-1273724/full-scorecard,23-10-21,Australia,South Africa,Australia
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/england-vs-west-indies-14th-match-group-1-1273725/full-scorecard,23-10-21,England,West Indies,England
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/bangladesh-vs-sri-lanka-15th-match-group-1-1273726/full-scorecard,24-10-21,Sri Lanka,Bangladesh,Sri Lanka
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/india-vs-pakistan-16th-match-group-2-1273727/full-scorecard,24-10-21,Pakistan,India,Pakistan
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/afghanistan-vs-scotland-17th-match-group-2-1273728/full-scorecard,25-10-21,Scotland,Afghanistan,Afghanistan
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/south-africa-vs-west-indies-18th-match-group-1-1273729/full-scorecard,26-10-21,South Africa,West Indies,South Africa
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/new-zealand-vs-pakistan-19th-match-group-2-1273730/full-scorecard,26-10-21,Pakistan,New Zealand,Pakistan
