,Team1,Team2,PredictedResult
0,Oman,PNG,Oman
1,Bangladesh,Scotland,Scotland
2,Ireland,Netherlands,Netherlands
3,SriLanka,Namibia,Namibia
4,Scotland,PNG,PNG
5,Oman,Bangladesh,Oman
6,Namibia,Netherlands,Netherlands
7,SriLanka,Ireland,SriLanka
8,Bangladesh,PNG,PNG
9,Oman,Scotland,Oman
10,Namibia,Ireland,Namibia
11,SriLanka,Netherlands,Netherlands
0,Australia,SouthAfrica,SouthAfrica
1,England,WestIndies,England
2,Netherlands,Scotland,Scotland
3,India,Pakistan,Pakistan
4,Afghanistan,Oman,Afghanistan
5,SouthAfrica,WestIndies,WestIndies
6,Pakistan,NewZealand,NewZealand
7,England,Scotland,England
8,Oman,Namibia,Oman
9,Australia,Netherlands,Netherlands
10,WestIndies,Scotland,WestIndies
11,Afghanistan,Pakistan,Pakistan
12,SouthAfrica,Netherlands,SouthAfrica
13,England,Australia,Australia
14,Afghanistan,Namibia,Afghanistan
15,India,NewZealand,NewZealand
16,England,Netherlands,England
17,SouthAfrica,Scotland,SouthAfrica
18,Pakistan,Namibia,Pakistan
19,NewZealand,Oman,NewZealand
20,India,Afghanistan,India
21,Australia,Scotland,Scotland
22,WestIndies,Netherlands,WestIndies
23,NewZealand,Namibia,NewZealand
24,India,Oman,India
25,Australia,WestIndies,WestIndies
26,England,SouthAfrica,England
27,NewZealand,Afghanistan,NewZealand
28,Pakistan,Oman,Pakistan
29,India,Namibia,India
42,England,Pakistan,Pakistan
43,WestIndies,NewZealand,WestIndies
44,Pakistan,WestIndies,WestIndies
