,Team1,Team2,PredictedResult
0,Oman,PNG,Oman
1,Bangladesh,Scotland,Scotland
2,Ireland,Netherlands,Netherlands
3,SriLanka,Namibia,Namibia
4,Scotland,PNG,Scotland
5,Oman,Bangladesh,Bangladesh
6,Namibia,Netherlands,Namibia
7,SriLanka,Ireland,Ireland
8,Bangladesh,PNG,Bangladesh
9,Oman,Scotland,Scotland
10,Namibia,Ireland,Namibia
11,SriLanka,Netherlands,Netherlands
0,Australia,SouthAfrica,SouthAfrica
1,England,WestIndies,England
2,Namibia,Bangladesh,Bangladesh
3,India,Pakistan,Pakistan
4,Afghanistan,Scotland,Afghanistan
5,SouthAfrica,WestIndies,WestIndies
6,Pakistan,NewZealand,NewZealand
7,England,Bangladesh,England
8,Scotland,Netherlands,Netherlands
9,Australia,Namibia,Namibia
10,WestIndies,Bangladesh,WestIndies
11,Afghanistan,Pakistan,Pakistan
12,SouthAfrica,Namibia,SouthAfrica
13,England,Australia,England
14,Afghanistan,Netherlands,Afghanistan
15,India,NewZealand,NewZealand
16,England,Namibia,England
17,SouthAfrica,Bangladesh,SouthAfrica
18,Pakistan,Netherlands,Netherlands
19,NewZealand,Scotland,NewZealand
20,India,Afghanistan,India
21,Australia,Bangladesh,Bangladesh
22,WestIndies,Namibia,WestIndies
23,NewZealand,Netherlands,NewZealand
24,India,Scotland,Scotland
25,Australia,WestIndies,WestIndies
26,England,SouthAfrica,England
27,NewZealand,Afghanistan,NewZealand
28,Pakistan,Scotland,Scotland
29,India,Netherlands,Netherlands
42,England,Netherlands,England
43,WestIndies,NewZealand,WestIndies
44,England,WestIndies,England
