Player_Name,Country,Mat_Bat,Inns_Bat,NO,Runs,HS,Ave,BF,SR,100s,50s,4s,6s,Ct,St,Mat_Bowl,Inns_Bowl,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w
Karim Sadiq Khan,Afghanistan,36,36,0,538,72,14.94,493,109.12,0,1,61,10,6,0,36,28,420,482,14,Mar-17,Mar-17,34.42,6.88,30,0,0,0
Shafiqullah Shafiq,Afghanistan,46,42,12,494,51*,16.46,340,145.29,0,1,35,31,14,2,46,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Shahzad Mohammadi,Afghanistan,65,65,3,1936,118*,31.22,1436,134.81,1,12,218,72,26,28,65,-,-,-,-,-,-,-,-,-,-,-,-
Nawroz Khan Mangal,Afghanistan,32,32,4,505,65*,18.03,453,111.47,0,2,42,19,16,0,32,6,60,80,4,Mar-23,Mar-23,20,8,15,0,0,0
Mohammad Asghar Afghan,Afghanistan,72,66,5,1341,62,21.98,1217,110.18,0,4,83,67,20,0,72,1,4,4,1,01-Apr,01-Apr,4,6,4,0,0,0
Raees Khan Ahmadzai,Afghanistan,8,6,3,91,33*,30.33,84,108.33,0,0,5,1,2,0,8,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Nabi,Afghanistan,81,75,11,1396,89,21.81,958,145.72,0,4,87,83,45,0,81,80,1618,1944,72,04-Oct,04-Oct,27,7.2,22.4,3,0,0
Samiullah Shinwari,Afghanistan,64,56,10,1013,61,22.02,858,118.06,0,2,76,37,19,0,64,38,634,688,28,May-13,May-13,24.57,6.51,22.6,1,1,0
Hamid Hassan,Afghanistan,22,9,6,50,22,16.66,46,108.69,0,0,3,2,2,0,22,22,478,523,32,Apr-22,Apr-22,16.34,6.56,14.9,1,0,0
Shapoor Zadran,Afghanistan,36,13,6,27,13,3.85,65,41.53,0,0,0,3,5,0,36,36,695,907,37,Mar-40,Mar-40,24.51,7.83,18.7,0,0,0
Dawlat Khan Ahmadzi,Afghanistan,2,1,1,2,2*,-,3,66.66,0,0,0,0,0,0,2,2,24,46,2,Jan-21,Jan-21,23,11.5,12,0,0,0
Alex Richard Cusack,Ireland,37,21,6,229,65,15.26,177,129.37,0,1,17,6,7,0,37,33,606,714,35,04-Nov,04-Nov,20.39,7.06,17.3,3,0,0
David Trent Johnston,Ireland,30,19,7,249,62,20.75,184,135.32,0,1,13,11,9,0,30,28,594,636,32,Apr-22,Apr-22,19.87,6.42,18.5,1,0,0
Kevin Joseph O'Brien,Ireland,106,99,10,1880,124,21.12,1425,131.92,1,4,159,80,36,0,106,51,903,1134,58,Apr-45,Apr-45,19.55,7.53,15.5,1,0,0
Andre Cornelius Botha,Ireland,14,11,1,130,38,13,141,92.19,0,0,12,1,8,0,14,10,204,184,21,Mar-14,Mar-14,8.76,5.41,9.7,0,0,0
George Henry Dockrell,Ireland,85,43,19,362,34*,15.08,303,119.47,0,0,20,10,41,0,85,73,1382,1642,76,Apr-20,Apr-20,21.6,7.12,18.1,1,0,0
William Thomas Stuart Porterfield,Ireland,61,59,6,1079,72,20.35,971,111.12,0,3,120,23,22,0,61,-,-,-,-,-,-,-,-,-,-,-,-
Niall John O'Brien,Ireland,30,28,2,466,50,17.92,475,98.1,0,1,40,7,17,10,30,-,-,-,-,-,-,-,-,-,-,-,-
Paul Robert Stirling,Ireland,88,87,7,2455,115*,30.68,1784,137.61,1,19,284,87,25,0,88,39,528,670,19,Mar-21,Mar-21,35.26,7.61,27.7,0,0,0
John Francis Mooney,Ireland,27,23,9,231,31*,16.5,214,107.94,0,0,25,1,13,0,27,10,156,176,10,02-Jul,02-Jul,17.6,6.76,15.6,0,0,0
Gary Craig Wilson,Ireland,81,68,8,1268,65*,21.13,1212,104.62,0,3,108,20,40,7,81,-,-,-,-,-,-,-,-,-,-,-,-
Hiral Patel,Canada,11,11,1,220,88*,22,218,100.91,0,1,19,2,3,0,11,5,59,83,2,Feb-23,Feb-23,41.5,8.44,29.5,0,0,0
Rizwan Ahmed Cheema,Canada,24,24,2,389,72,17.68,314,123.88,0,2,33,28,11,0,24,15,300,382,9,Feb-19,Feb-19,42.44,7.64,33.3,0,0,0
Abdool Mudassar Samad,Canada,7,6,0,97,29,16.16,88,110.22,0,0,8,4,1,0,7,1,12,36,1,Jan-36,Jan-36,36,18,12,0,0,0
Ashish Bagai,Canada,9,9,2,284,67*,40.57,249,114.05,0,2,27,0,5,6,9,-,-,-,-,-,-,-,-,-,-,-,-
Sunil Dhaniram,Canada,11,9,0,100,26,11.11,123,81.3,0,0,6,2,4,0,11,11,202,192,6,02-Sep,02-Sep,32,5.7,33.6,0,0,0
Umar Bhatti,Canada,7,7,3,49,12,12.25,48,102.08,0,0,3,1,0,0,7,7,138,148,8,Mar-23,Mar-23,18.5,6.43,17.2,0,0,0
