Player_Name,Country,Mat_Bat,Inns_Bat,NO,Runs,HS,Ave,BF,SR,100s,50s,4s,6s,Ct,St,Mat_Bowl,Inns_Bowl,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w
Merwe Gerhard Erasmus,Namibia,22,20,5,522,72,34.79,371,140.7,0,5,43,24,19,0,22,10,193,171,12,03-Dec,03-Dec,14.25,5.31,16,0,0,0
Stephan Julian Baard,Namibia,17,17,2,496,92,33.06,407,121.86,0,4,41,15,9,0,17,-,-,-,-,-,-,-,-,-,-,-,-
Karl Johan Birkenstock,Namibia,8,4,1,81,59,27,45,180,0,1,9,4,2,0,8,3,18,35,0,-,-,-,11.66,-,0,0,0
Michau Daniel du Preez,Namibia,3,2,2,62,33*,-,58,106.89,0,0,5,1,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-
Jan Nicolaas Frylinck,Namibia,20,11,7,73,19*,18.25,62,117.74,0,0,4,2,11,0,20,19,385,378,35,Jun-24,Jun-24,10.8,5.89,11,1,1,0
Zane Edward Green,Namibia,19,14,3,106,26,9.63,107,99.06,0,0,7,3,14,5,19,-,-,-,-,-,-,-,-,-,-,-,-
Jan Nicol Loftie-Eaton,Namibia,3,2,0,24,18,12,26,92.3,0,0,3,0,1,0,3,3,42,44,1,Jan-20,Jan-20,44,6.28,42,0,0,0
Bernard Martinus Scholtz,Namibia,20,4,3,5,3*,5,10,50,0,0,0,0,3,0,20,20,418,391,28,04-Dec,04-Dec,13.96,5.61,14.9,1,0,0
Ben Shikongo,Namibia,15,1,0,0,0,0,1,0,0,0,0,0,4,0,15,14,210,197,13,02-Apr,02-Apr,15.15,5.62,16.1,0,0,0
Johannes Jonathan Smit,Namibia,18,15,4,363,59,33,233,155.79,0,1,19,22,11,0,18,13,295,310,19,Mar-19,Mar-19,16.31,6.3,15.5,0,0,0
Ruben Trumpelmann,Namibia,2,1,0,1,1,1,2,50,0,0,0,0,0,0,2,2,48,45,4,Feb-22,Feb-22,11.25,5.62,12,0,0,0
Michael van Lingen,Namibia,1,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,6,10,0,-,-,-,10,-,0,0,0
David Wiese,Namibia,23,14,4,112,28,11.2,92,121.73,0,0,7,3,10,0,23,23,464,594,27,May-23,May-23,22,7.68,17.1,0,1,0
Craig George Williams,Namibia,19,18,3,508,81,33.86,393,129.26,0,5,46,17,2,0,19,13,174,181,9,03-Sep,03-Sep,20.11,6.24,19.3,0,0,0
Helao Nafidi Ya France,Namibia,9,5,2,27,13,9,24,112.5,0,0,2,1,1,0,9,8,102,115,3,01-Mar,01-Mar,38.33,6.76,34,0,0,0
Pieter Marinus Seelaar,Netherlands,74,44,12,568,96*,17.75,498,114.05,0,1,41,12,32,0,74,62,1107,1268,56,Apr-19,Apr-19,22.64,6.87,19.7,1,0,0
Colin Niel Ackermann,Netherlands,11,11,3,243,43*,30.37,196,123.97,0,0,18,5,4,0,11,10,150,147,5,01-Jun,01-Jun,29.4,5.88,30,0,0,0
Philippe Ronald Peter Boissevain,Netherlands,7,3,1,14,7*,7,19,73.68,0,0,1,0,4,0,7,7,162,233,6,Feb-43,Feb-43,38.83,8.62,27,0,0,0
Benjamin Nicolas Cooper,Netherlands,56,53,11,1230,91*,29.28,984,125,0,9,116,38,35,0,56,-,-,-,-,-,-,-,-,-,-,-,-
Bas de Leede,Netherlands,13,11,2,221,81*,24.55,210,105.23,0,1,14,9,6,0,13,7,84,158,4,Feb-15,Feb-15,39.5,11.28,21,0,0,0
Scott Andrew Edwards,Netherlands,33,26,8,402,42*,22.33,293,137.2,0,0,39,8,25,4,33,-,-,-,-,-,-,-,-,-,-,-,-
Brandon Dale Glover,Netherlands,19,4,3,2,1*,2,8,25,0,0,0,0,3,0,19,19,390,448,28,04-Dec,04-Dec,16,6.89,13.9,2,0,0
Frederick Jack Klaassen,Netherlands,21,7,1,33,13,5.5,34,97.05,0,0,2,0,10,0,21,20,415,581,20,Mar-31,Mar-31,29.05,8.39,20.7,0,0,0
Stephanus Johannes Myburgh,Netherlands,33,32,2,741,71*,24.7,635,116.69,0,5,82,22,5,0,33,-,-,-,-,-,-,-,-,-,-,-,-
Maxwell Patrick O'Dowd,Netherlands,40,39,3,1038,133*,28.83,829,125.21,1,6,104,26,14,0,40,9,76,119,3,01-Jul,01-Jul,39.66,9.39,25.3,0,0,0
Ryan Neil ten Doeschate,Netherlands,22,22,10,533,59,44.41,400,133.25,0,3,27,19,4,0,22,10,210,245,13,Mar-23,Mar-23,18.84,7,16.1,0,0,0
Logan Verjus van Beek,Netherlands,8,4,1,7,4*,2.33,15,46.66,0,0,0,0,3,0,8,7,102,160,5,03-Sep,03-Sep,32,9.41,20.4,0,0,0
Timm van der Gugten,Australia,39,11,4,109,40*,15.57,81,134.56,0,0,4,6,9,0,39,38,713,847,40,03-Sep,03-Sep,21.17,7.12,17.8,0,0,0
Roelof Erasmus van der Merwe,Netherlands,43,29,12,454,75*,26.7,345,131.59,0,2,36,13,19,0,43,42,895,938,54,Apr-35,Apr-35,17.37,6.28,16.5,1,0,0
Paul Adriaan van Meekeren,Netherlands,45,11,2,44,18,4.88,44,100,0,0,1,3,14,0,45,43,889,1061,47,04-Nov,04-Nov,22.57,7.16,18.9,2,0,0
Madagamagamage Dasun Shanaka,Sri Lanka,49,47,8,611,54,15.66,576,106.07,0,2,39,30,14,0,49,23,241,291,15,Mar-16,Mar-16,19.39,7.24,16,0,0,0
Kariyawasam Indipalage Charith Asalanka,Sri Lanka,3,3,0,64,44,21.33,65,98.46,0,0,3,3,1,0,3,-,-,-,-,-,-,-,-,-,-,-,-
Pathira Vasan Dushmantha Chameera,Sri Lanka,31,15,7,38,12,4.75,54,70.37,0,0,3,0,7,0,31,31,650,842,31,Apr-17,Apr-17,27.16,7.77,20.9,1,0,0
Lokuge Dinesh Chandimal,Sri Lanka,59,52,6,939,66*,20.41,891,105.38,0,6,81,19,34,5,59,-,-,-,-,-,-,-,-,-,-,-,-
Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,Sri Lanka,31,15,7,61,11*,7.62,71,85.91,0,0,6,0,7,0,31,31,665,909,28,Mar-36,Mar-36,32.46,8.2,23.7,0,0,0
Pinnaduwage Wanindu Hasaranga de Silva,Sri Lanka,25,22,6,200,44,12.5,186,107.52,0,0,17,0,7,0,25,23,508,557,36,04-Sep,04-Sep,15.47,6.57,14.1,1,0,0
Dhananjaya Maduranga de Silva,Sri Lanka,23,22,2,412,62,20.6,380,108.42,0,2,32,6,6,0,23,12,144,171,5,Feb-22,Feb-22,34.2,7.12,28.8,0,0,0
Binura Fernando,Sri Lanka,4,2,1,28,20,28,26,107.69,0,0,2,1,0,0,4,4,86,114,5,Feb-33,Feb-33,22.8,7.95,17.2,0,0,0
Weerahandige Inol Avishka Fernando,Sri Lanka,22,21,0,273,37,13,284,96.12,0,0,24,4,5,0,22,-,-,-,-,-,-,-,-,-,-,-,-
Chamika Karunaratne,Sri Lanka,6,5,3,69,24*,34.5,55,125.45,0,0,1,5,1,0,6,5,64,89,1,Jan-34,Jan-34,89,8.34,64,0,0,0
Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara,Sri Lanka,7,3,2,5,4,5,3,166.66,0,0,1,0,0,0,7,6,135,201,6,Feb-24,Feb-24,33.5,8.93,22.5,0,0,0
Pathum Nissanka Silva,Sri Lanka,4,3,0,81,39,27,70,115.71,0,0,8,2,1,0,4,-,-,-,-,-,-,-,-,-,-,-,-
Mathurage Don Kusal Janith Perera,Sri Lanka,52,51,0,1416,84,27.76,1071,132.21,0,12,129,49,13,5,52,-,-,-,-,-,-,-,-,-,-,-,-
Pramod Bhanuka Bandara Rajapaksa,Sri Lanka,10,9,1,165,77,20.62,127,129.92,0,1,12,10,0,0,10,-,-,-,-,-,-,-,-,-,-,-,-
Morawakage Maheesh Theekshana,Sri Lanka,3,1,0,0,0,0,2,0,0,0,0,0,1,0,3,3,72,93,1,Jan-35,Jan-35,93,7.75,72,0,0,0
Mohammad Nabi,Afghanistan,81,75,11,1396,89,21.81,958,145.72,0,4,87,83,45,0,81,80,1618,1944,72,04-Oct,04-Oct,27,7.2,22.4,3,0,0
Mohammad Asghar Afghan,Afghanistan,72,66,5,1341,62,21.98,1217,110.18,0,4,83,67,20,0,72,1,4,4,1,01-Apr,01-Apr,4,6,4,0,0,0
Fareed Ahmad Malik,Afghanistan,16,1,1,24,24*,-,15,160,0,0,4,0,1,0,16,16,329,457,21,Mar-35,Mar-35,21.76,8.33,15.6,0,0,0
Gulbadin Naib,Afghanistan,48,39,11,495,56*,17.67,408,121.32,0,1,34,24,18,0,48,31,450,621,17,Feb-24,Feb-24,36.52,8.27,26.4,0,0,0
Hamid Hassan,Afghanistan,22,9,6,50,22,16.66,46,108.69,0,0,3,2,2,0,22,22,478,523,32,Apr-22,Apr-22,16.34,6.56,14.9,1,0,0
Hashmatullah Shahidi,Afghanistan,4,2,2,1,1*,-,1,100,0,0,0,0,1,0,4,-,-,-,-,-,-,-,-,-,-,-,-
Hazratullah Zazai,Afghanistan,15,15,1,570,162*,40.71,367,155.31,1,2,49,40,2,0,15,-,-,-,-,-,-,-,-,-,-,-,-
Karim Janat,Afghanistan,27,18,2,268,53,16.75,237,113.08,0,1,20,12,6,0,27,27,559,766,29,05-Nov,05-Nov,26.41,8.22,19.2,0,1,0
Mohammad Shahzad Mohammadi,Afghanistan,65,65,3,1936,118*,31.22,1436,134.81,1,12,218,72,26,28,65,-,-,-,-,-,-,-,-,-,-,-,-
Mujeeb Ur Rahman,Afghanistan,19,3,3,8,8*,-,8,100,0,0,1,0,4,0,19,19,432,443,25,Apr-15,Apr-15,17.72,6.15,17.2,1,0,0
Najibullah Zadran,Afghanistan,63,54,22,1060,72*,33.12,745,142.28,0,4,69,57,31,0,63,-,-,-,-,-,-,-,-,-,-,-,-
Naveen-ul-Haq Murid,Afghanistan,8,2,1,7,5,7,7,100,0,0,1,0,1,0,8,8,168,195,13,Mar-21,Mar-21,15,6.96,12.9,0,0,0
Rahmanullah Gurbaz,Afghanistan,13,13,0,446,87,34.3,310,143.87,0,3,36,28,6,1,13,-,-,-,-,-,-,-,-,-,-,-,-
Rashid Khan Arman,Afghanistan,51,26,13,179,33,13.76,139,128.77,0,0,11,11,20,0,51,51,1158,1200,95,05-Mar,05-Mar,12.63,6.21,12.1,3,2,0
Usman Ghani,Afghanistan,23,23,2,551,73,26.23,496,111.08,0,3,55,15,12,0,23,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Mahmudullah,Bangladesh,102,94,21,1771,64*,24.26,1492,118.69,0,5,138,54,39,0,102,64,789,945,33,Mar-18,Mar-18,28.63,7.18,23.9,0,0,0
